"arm","method","mean_ARI","sd_ARI","min_ARI","max_ARI"
"aligned","Categorical_only_TVD_SC",0.424507811669034,0.060091728898481,0.322967875597829,0.481579834127561
"decoupled","Categorical_only_TVD_SC",-0.00397187911264147,0.000865662316848303,-0.00512680343067364,-0.0032774362381083
"aligned","Euclidean_onehot_SC",0.527807844156792,0.0446253740439883,0.460098531360943,0.583938658052044
"decoupled","Euclidean_onehot_SC",-0.00269234048934949,0.00156008799148715,-0.00420395871157826,-0.000239859800585943
"aligned","Gated_active_average_SC",0.487257603815366,0.0690682525635783,0.396304303829623,0.569756401370219
"decoupled","Gated_active_average_SC",0.375985240055634,0.0348683241939067,0.337057382643347,0.415572014169667
"aligned","Gower_SC",0.454448930735435,0.0167525644050113,0.432496863834593,0.47811194816442
"decoupled","Gower_SC",-0.00308198930615913,0.00240305720486664,-0.00475755486412735,0.001150536387026
"aligned","Modified_Gower_SC",0.425013951347455,0.0232521449525728,0.401374167292527,0.458592170028219
"decoupled","Modified_Gower_SC",-0.00303623161297876,0.00131878206654713,-0.00429201531351556,-0.000803112264204873
"aligned","Numeric_only_PC_SC",0.388095936515425,0.0216401675839932,0.362998496900835,0.415078997219269
"decoupled","Numeric_only_PC_SC",0.388095936515425,0.0216401675839932,0.362998496900835,0.415078997219269
"aligned","Package_no_interaction_SC",0.432263045116859,0.0413805527146274,0.385404754824202,0.495465808125138
"decoupled","Package_no_interaction_SC",0.375985240055634,0.0348683241939067,0.337057382643347,0.415572014169667
