specification,preset,observations,mean_distance,sd_distance,min_distance,max_distance
gower,gower,333,0.3549600892057159,0.1646542448711089,0.007729861162064561,0.8045225254971018
gower_commensurable,custom,333,6.018072289156618,2.7063412051497555,0.1779536276365467,15.003192304411
u_dep,u_dep,333,6.018072289156429,2.3721246215172207,0.13329128618202307,16.20691050738234
u_indep,u_indep,333,6.0180722891566285,2.7063412051497617,0.17795362763654582,15.003192304411028
euclidean,euclidean,333,3.993192387731127,1.4333358714472952,0.10890123103853283,8.306963424092515
