"quantity","mean","sd","min","max"
"active_count",15,0,15,15
"baseline_ARI_to_truth",0.747153396796112,0.106402648120843,0.632497869217917,0.842718655586221
"gated_ARI_to_truth",0.731170538136053,0.00380348207503719,0.726781286841888,0.733496809909667
"gated_minus_baseline_ARI",-0.015982858660059,0.106929898677861,-0.109221845676554,0.100735648438688
"baseline_gated_partition_ARI",0.728143859903523,0.140315245404575,0.571838274029184,0.843239730153038
"active_interaction_alignment_ratio_baseline",1.42880032147514,0.257105285809776,1.19647194030947,1.7050294066165
"active_interaction_alignment_ratio_gated",2.07385652887913,0.0807206279446242,2.0008989930407,2.16057191938648
"active_interaction_standardized_contrast_baseline",0.510610083922955,0.260643553867967,0.272066500281538,0.788808843878579
"active_interaction_standardized_contrast_gated",0.986097940828688,0.0456065292667109,0.957630291405031,1.03870037528825
"interaction_baseline_spearman",0.624617611765991,0.0228115921486444,0.606366798293243,0.650191410279172
"mean_leave_one_out_alignment_ratio",2.07830051982523,0.0830405371521915,2.00331918259777,2.16755101949752
"min_leave_one_out_alignment_ratio",1.82270267112986,0.0255166577099618,1.80622862347645,1.8520951702791
"proportion_leave_one_out_aligned",1,0,1,1
"mean_leave_one_out_partition_ARI_to_gated",0.998838240854027,0.00151940685200426,0.997083780975758,0.99971575988859
"baseline_sigma",14.9702548548284,0.197339672470669,14.8098588620085,15.1906234274886
"gated_sigma",17.3425828374139,0.320279575791654,17.0885162465088,17.7023533929016
