"replicate","data_seed","active_count","baseline_ARI_to_truth","gated_ARI_to_truth","gated_minus_baseline_ARI","baseline_gated_partition_ARI","active_interaction_alignment_ratio_baseline","active_interaction_alignment_ratio_gated","active_interaction_standardized_contrast_baseline","active_interaction_standardized_contrast_gated","interaction_baseline_spearman","mean_leave_one_out_alignment_ratio","min_leave_one_out_alignment_ratio","proportion_leave_one_out_aligned","mean_leave_one_out_partition_ARI_to_gated","baseline_sigma","gated_sigma"
1,26092201,15,0.766243665584198,0.726781286841888,-0.0394623787423105,0.843239730153038,1.38489961749947,2.0600986742102,0.47095490760875,0.961963155792779,0.61729462672556,2.06403135738042,1.8520951702791,1,0.999715181697733,14.910282274988,17.2368788728312
2,26092301,15,0.842718655586221,0.733496809909667,-0.109221845676554,0.769353575528347,1.19647194030947,2.0008989930407,0.272066500281538,0.957630291405031,0.606366798293243,2.00331918259777,1.80622862347645,1,0.997083780975758,14.8098588620085,17.0885162465088
3,26092401,15,0.632497869217917,0.733233517656605,0.100735648438688,0.571838274029184,1.7050294066165,2.16057191938648,0.788808843878579,1.03870037528825,0.650191410279172,2.16755101949752,1.80978421963404,1,0.99971575988859,15.1906234274886,17.7023533929016
