"task_id","variable","prop_nn","gamma","numeric_block_weight","tvd_level_mean","interaction_level_mean","tvd_observation_mean","interaction_observation_mean_raw","interaction_observation_mean_gated","interaction_gate_statistic","interaction_gate_p_value","interaction_detected","scenario","replicate","setting_id","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_family","param_k","param_n","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical_noise","param_q_categorical_signal"
1,"C_signal_1",0.1,1,1,NA,0.142809965390611,NA,0.0978776529338327,0,0.267813267813268,0.25,FALSE,"corrected_marginal_overlap",1,1,"0.1","0.5","0.6","gaussian","3","90","0","6","0","4"
1,"C_signal_2",0.1,1,1,NA,0.110774567671119,NA,0.0774032459425718,0,0.161036036036036,0.66,FALSE,"corrected_marginal_overlap",1,1,"0.1","0.5","0.6","gaussian","3","90","0","6","0","4"
1,"C_signal_3",0.1,1,1,NA,0.1197333132817,NA,0.082147315855181,0,0.233100233100233,0.39,FALSE,"corrected_marginal_overlap",1,1,"0.1","0.5","0.6","gaussian","3","90","0","6","0","4"
1,"C_signal_4",0.1,1,1,NA,0.0855614973262032,NA,0.047940074906367,0,0.25668449197861,0.28,FALSE,"corrected_marginal_overlap",1,1,"0.1","0.5","0.6","gaussian","3","90","0","6","0","4"
