"task_key","experiment","condition","state","replicate","data_seed","method","method_label","bandwidth_multiplier","ARI","affinity_sigma","objective","iterations","ifault","distance_seconds","clustering_seconds","error"
"Simulation_1__reference__signal__rep003","Simulation_1","reference","signal",3,26200300,"Modified_Gower_SC","Modified Gower",1,0.489007123464869,0.598062103987931,83.0133661175774,3,0,0.356000000000009,0.0960000000000036,NA
"Simulation_1__reference__signal__rep003","Simulation_1","reference","signal",3,26200300,"Euclidean_onehot_SC","Euclidean one-hot",1,0.6555278106402,4.1436671946769,78.1092589092767,3,0,0.408000000000001,0.109000000000009,NA
"Simulation_1__reference__signal__rep003","Simulation_1","reference","signal",3,26200300,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.801421914369057,0.14396195970881,89.8799303300946,3,0,0.0349999999999966,0.0949999999999989,NA
"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3,26200300,"Gated_active_average_SC","Gated active average",1,0.470779318080031,2.19690779527234,89.7845833047365,3,0,0.296000000000006,0.137,NA
"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3,26200300,"Package_no_interaction_SC","Package no interaction",1,0.470779318080031,2.19690779527234,89.7845833047365,3,0,0.00600000000000023,0.108999999999995,NA
"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3,26200300,"Gower_SC","Gower",1,-0.00221468350114275,0.471926088928571,93.2180152618849,2,0,0.0629999999999882,0.373000000000005,NA
"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3,26200300,"Modified_Gower_SC","Modified Gower",1,0.50907843093125,0.628213288023256,76.3210588425863,3,0,0.277000000000001,0.11399999999999,NA
"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3,26200300,"Euclidean_onehot_SC","Euclidean one-hot",1,-0.00221468350114275,4.07141679614612,88.3430875728907,3,0,0.174000000000007,0.111999999999995,NA
"Simulation_1__reference__null__rep003","Simulation_1","reference","null",3,26200300,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.423149348992599,0.0159943165276184,91.8250545897618,3,0,0.324999999999989,0.0990000000000038,NA
"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4,26200400,"Gated_active_average_SC","Gated active average",1,0.843957138237551,3.77374782757182,64.7371851195214,2,0,0.00600000000000023,0.0880000000000081,NA
"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4,26200400,"Package_no_interaction_SC","Package no interaction",1,0.519804665256139,2.18247027696613,85.5196311327556,3,0,0.00300000000000011,0.111999999999995,NA
"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4,26200400,"Gower_SC","Gower",1,0.6555278106402,0.480344428118468,92.8124154664909,3,0,0.0799999999999983,0.126999999999995,NA
"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4,26200400,"Modified_Gower_SC","Modified Gower",1,0.6677523686443,0.557027509192041,69.6134309985,3,0,0.269999999999996,0.105000000000004,NA
"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4,26200400,"Euclidean_onehot_SC","Euclidean one-hot",1,0.509633706911344,4.14209626176967,84.9767600803246,2,0,0.135999999999996,0.0880000000000081,NA
"Simulation_1__reference__signal__rep004","Simulation_1","reference","signal",4,26200400,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.801421914369057,0.127648318428681,83.1473856830465,3,0,0.313000000000002,0.347999999999999,NA
"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4,26200400,"Gated_active_average_SC","Gated active average",1,0.519804665256139,2.18247027696613,85.5196311327556,3,0,0.0120000000000005,0.0819999999999936,NA
"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4,26200400,"Package_no_interaction_SC","Package no interaction",1,0.519804665256139,2.18247027696613,85.5196311327556,3,0,0.0130000000000052,0.0859999999999985,NA
"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4,26200400,"Gower_SC","Gower",1,-0.00554527672165286,0.474441155164947,91.9989386196558,4,0,0.100999999999999,0.599000000000004,NA
"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4,26200400,"Modified_Gower_SC","Modified Gower",1,0.495120168470895,0.596709790607618,77.1740319779725,5,0,0.292000000000002,0.112000000000009,NA
"Simulation_1__reference__null__rep004","Simulation_1","reference","null",4,26200400,"Euclidean_onehot_SC","Euclidean one-hot",1,0.0029771235778877,4.09541323399108,89.0126067892483,3,0,0.0990000000000038,0.191000000000003,NA
