"task_key","experiment","condition","state","replicate","variable","detected_199","adjusted_p_value_199","statistic_199","detected_499","adjusted_p_value_499","statistic_499","decision_changed"
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C24",FALSE,0.05,0.248035914702581,FALSE,0.052,0.248035914702581,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C3",TRUE,0.005,0.343559488692232,TRUE,0.004,0.343559488692232,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C4",FALSE,1,0.0564160330423356,FALSE,1,0.0564160330423356,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C5",FALSE,0.03,0.263899816417519,FALSE,0.024,0.263899816417519,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C6",TRUE,0.005,0.350265197878417,TRUE,0.002,0.350265197878417,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C7",FALSE,0.635,0.154757755315441,FALSE,0.662,0.154757755315441,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C8",FALSE,0.015,0.281040493429874,FALSE,0.016,0.281040493429874,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C9",FALSE,0.015,0.280148423005566,FALSE,0.016,0.280148423005566,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C1",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C10",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C11",FALSE,1,0.0453278967040434,FALSE,1,0.0453278967040434,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C12",FALSE,0.75,0.150145523026879,FALSE,0.736,0.150145523026879,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C13",FALSE,1,0.0914510440400762,FALSE,1,0.0914510440400762,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C14",FALSE,0.995,0.0924379562043796,FALSE,0.996,0.0924379562043796,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C15",FALSE,0.99,0.0940078158923146,FALSE,0.994,0.0940078158923146,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C16",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C17",FALSE,1,0.0535972959922741,FALSE,1,0.0535972959922741,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C18",FALSE,0.935,0.116892911010558,FALSE,0.936,0.116892911010558,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C19",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C2",FALSE,0.99,0.102197802197802,FALSE,0.986,0.102197802197802,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C20",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C21",FALSE,0.16,0.233504114267971,FALSE,0.122,0.233504114267971,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C22",FALSE,1,0.0660377358490565,FALSE,1,0.0660377358490565,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C23",FALSE,1,0.0595238095238095,FALSE,1,0.0595238095238095,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C24",FALSE,0.19,0.227304964539007,FALSE,0.142,0.227304964539007,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C3",FALSE,1,0.0598522538821045,FALSE,1,0.0598522538821045,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C4",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C5",FALSE,0.93,0.119991987179487,FALSE,0.93,0.119991987179487,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C6",FALSE,1,0.0466424682395645,FALSE,1,0.0466424682395645,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C7",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C8",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,"C9",FALSE,1,0.0387205387205387,FALSE,1,0.0387205387205387,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C1",FALSE,0.99,0.0976621417797889,FALSE,0.988,0.0976621417797889,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C10",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C11",FALSE,1,0.0141766630316249,FALSE,1,0.0141766630316249,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C12",FALSE,1,0.0652173913043477,FALSE,1,0.0652173913043477,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C13",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C14",FALSE,1,0.0285257264729406,FALSE,1,0.0285257264729406,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C15",FALSE,0.995,0.0959617889709077,FALSE,0.992,0.0959617889709077,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C16",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C17",FALSE,1,0.0220872814626984,FALSE,1,0.0220872814626984,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C18",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C19",FALSE,1,0.0185774782850607,FALSE,1,0.0185774782850607,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C2",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C20",FALSE,1,0.0207156308851224,FALSE,1,0.0207156308851224,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C21",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C22",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C23",FALSE,1,0.0755932203389831,FALSE,1,0.0755932203389831,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C24",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C3",FALSE,0.87,0.134393767245577,FALSE,0.878,0.134393767245577,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C4",FALSE,0.955,0.117529183498203,FALSE,0.956,0.117529183498203,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C5",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C6",FALSE,0.96,0.111664820967146,FALSE,0.97,0.111664820967146,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C7",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C8",FALSE,1,0.0777327359362776,FALSE,1,0.0777327359362776,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,"C9",FALSE,1,0.055952380952381,FALSE,1,0.055952380952381,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C1",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C10",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C11",FALSE,0.99,0.0993160444571104,FALSE,0.994,0.0993160444571104,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C12",FALSE,1,0.00239322533136965,FALSE,1,0.00239322533136965,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C13",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C14",FALSE,1,0.0813008130081301,FALSE,1,0.0813008130081301,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C15",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C16",FALSE,1,0.0235690235690236,FALSE,1,0.0235690235690236,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C17",FALSE,1,0.0695480473892058,FALSE,1,0.0695480473892058,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C18",FALSE,1,0.0618055555555554,FALSE,1,0.0618055555555554,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C19",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C2",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C20",FALSE,1,0.0819126819126819,FALSE,1,0.0819126819126819,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C21",FALSE,1,0.0620583717357912,FALSE,1,0.0620583717357912,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C22",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C23",FALSE,1,0.0494400235779546,FALSE,1,0.0494400235779546,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C24",FALSE,1,0.0515463917525774,FALSE,1,0.0515463917525774,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C3",FALSE,1,0.071969696969697,FALSE,1,0.071969696969697,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C4",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C5",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C6",FALSE,0.925,0.124262295081967,FALSE,0.932,0.124262295081967,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C7",FALSE,1,0.0306241116423309,FALSE,1,0.0306241116423309,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C8",FALSE,1,0.0494186046511627,FALSE,1,0.0494186046511627,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep003","Simulation_3","npg120_profile0.35","decoupled",3,"C9",FALSE,1,0.0562264150943397,FALSE,1,0.0562264150943397,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C1",FALSE,1,0.0712333871568749,FALSE,1,0.0712333871568749,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C10",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C11",FALSE,1,0.0684142789405948,FALSE,1,0.0684142789405948,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C12",FALSE,0.99,0.0976790783102355,FALSE,0.994,0.0976790783102355,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C13",FALSE,1,0.0490622282946218,FALSE,1,0.0490622282946218,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C14",FALSE,0.99,0.097230255124992,FALSE,0.994,0.097230255124992,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C15",FALSE,0.995,0.0828754578754578,FALSE,0.998,0.0828754578754578,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C16",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C17",FALSE,1,0.0234653257909072,FALSE,1,0.0234653257909072,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C18",FALSE,0.99,0.0932330827067669,FALSE,0.994,0.0932330827067669,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C19",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C2",FALSE,1,0.0585585585585586,FALSE,1,0.0585585585585586,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C20",FALSE,0.96,0.11304347826087,FALSE,0.974,0.11304347826087,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C21",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C22",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C23",FALSE,0.99,0.0939849624060152,FALSE,0.994,0.0939849624060152,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C24",FALSE,1,0.0616096866096867,FALSE,1,0.0616096866096867,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C3",FALSE,1,0.053907625626439,FALSE,1,0.053907625626439,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C4",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C5",FALSE,0.8,0.143182854537164,FALSE,0.818,0.143182854537164,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C6",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C7",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C8",FALSE,1,0.00058275058275048,FALSE,1,0.00058275058275048,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4,"C9",FALSE,0.8,0.142968294106205,FALSE,0.82,0.142968294106205,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C1",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C10",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C11",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C12",FALSE,1,0.0575757575757576,FALSE,1,0.0575757575757576,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C13",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C14",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C15",FALSE,1,0.0435391074482974,FALSE,1,0.0435391074482974,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C16",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C17",FALSE,1,0.0391428571428571,FALSE,1,0.0391428571428571,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C18",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C19",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C2",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C20",FALSE,1,0.038015828151498,FALSE,1,0.038015828151498,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C21",FALSE,1,0.0507851321804811,FALSE,1,0.0507851321804811,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C22",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C23",FALSE,0.9,0.123349436392915,FALSE,0.89,0.123349436392915,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C24",FALSE,0.465,0.179573512906846,FALSE,0.46,0.179573512906846,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C3",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C4",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C5",FALSE,1,0,FALSE,1,0,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C6",FALSE,0.975,0.0959752321981426,FALSE,0.988,0.0959752321981426,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C7",FALSE,1,0.00133084064767575,FALSE,1,0.00133084064767575,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C8",FALSE,1,0.0391304347826087,FALSE,1,0.0391304347826087,FALSE
"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5,"C9",FALSE,1,0.0749072356215215,FALSE,1,0.0749072356215215,FALSE
