"task_key","experiment","condition","state","replicate","variable","detected_199","adjusted_p_value_199","statistic_199","detected_499","adjusted_p_value_499","statistic_499","decision_changed"
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C12",FALSE,0.04,0.267268445839874,FALSE,0.036,0.267268445839874,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C13",FALSE,0.965,0.106120665438996,FALSE,0.982,0.106120665438996,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C14",FALSE,0.015,0.323737226277372,TRUE,0.008,0.323737226277372,TRUE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C15",TRUE,0.005,0.406209292227529,TRUE,0.002,0.406209292227529,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C16",FALSE,0.7,0.15080971659919,FALSE,0.742,0.15080971659919,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C17",FALSE,0.03,0.27950610471132,FALSE,0.026,0.27950610471132,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C18",FALSE,0.02,0.288823529411765,FALSE,0.02,0.288823529411765,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C19",FALSE,0.975,0.10125,FALSE,0.988,0.10125,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C2",FALSE,0.045,0.263154492566257,FALSE,0.042,0.263154492566257,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C20",TRUE,0.005,0.357464647728695,TRUE,0.002,0.357464647728695,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C21",FALSE,0.02,0.28423256256542,FALSE,0.022,0.28423256256542,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C22",FALSE,0.255,0.200152983171851,FALSE,0.272,0.200152983171851,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C23",FALSE,0.055,0.244409937888199,FALSE,0.078,0.244409937888199,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C24",FALSE,0.905,0.125252525252525,FALSE,0.934,0.125252525252525,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C3",FALSE,0.02,0.303030303030303,FALSE,0.016,0.303030303030303,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C4",FALSE,0.89,0.130906128587542,FALSE,0.908,0.130906128587542,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C5",FALSE,0.035,0.270991847826087,FALSE,0.03,0.270991847826087,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C6",FALSE,0.045,0.266336818521284,FALSE,0.038,0.266336818521284,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C7",FALSE,0.96,0.113839285714286,FALSE,0.97,0.113839285714286,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C8",FALSE,0.035,0.272344773697181,FALSE,0.03,0.272344773697181,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,"C9",FALSE,0.015,0.320625610948192,TRUE,0.008,0.320625610948192,TRUE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C1",FALSE,0.83,0.136123680241327,FALSE,0.834,0.136123680241327,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C10",FALSE,1,0.0457697642163661,FALSE,1,0.0457697642163661,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C11",FALSE,0.07,0.240527411519778,FALSE,0.076,0.240527411519778,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C12",TRUE,0.01,0.335387718511878,TRUE,0.008,0.335387718511878,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C13",FALSE,0.685,0.155990159135499,FALSE,0.696,0.155990159135499,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C14",FALSE,0.175,0.217671809256662,FALSE,0.17,0.217671809256662,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,"C15",FALSE,0.015,0.32780612244898,TRUE,0.01,0.32780612244898,TRUE
