"configuration","interaction_state","replicate","data_seed","n","p_numeric","q_categorical","method","affinity","ARI","ifault","distance_seconds","clustering_seconds"
"numeric_high","signal",1,26092100,360,10,2,"standardized_euclidean_onehot","gaussian",0.573957227395208,0,0.948999999999998,0.105
"numeric_high","signal",1,26092100,360,10,2,"standardized_euclidean_onehot","selftune",0.615633289813975,0,0.948999999999998,0.0990000000000002
"numeric_high","null",1,26092100,360,10,2,"ab_gated","gaussian",0.689123954419064,0,10.559,0.152999999999999
"numeric_high","null",1,26092100,360,10,2,"ab_gated","selftune",0.486302952297361,0,10.559,0.166999999999998
"numeric_high","null",1,26092100,360,10,2,"ab_no_interaction","gaussian",0.689123954419064,0,1.41,0.0999999999999979
"numeric_high","null",1,26092100,360,10,2,"ab_no_interaction","selftune",0.486302952297361,0,1.41,0.117000000000001
"numeric_high","null",1,26092100,360,10,2,"gower","gaussian",0.0677356079726053,0,0.0860000000000003,0.102
"numeric_high","null",1,26092100,360,10,2,"gower","selftune",0.60513435544339,0,0.0860000000000003,0.209
"numeric_high","null",1,26092100,360,10,2,"modified_gower","gaussian",0.487387870683972,0,1.467,0.125
"numeric_high","null",1,26092100,360,10,2,"modified_gower","selftune",0.538679894853477,0,1.467,0.324000000000002
"numeric_high","null",1,26092100,360,10,2,"standardized_euclidean_onehot","gaussian",0.0585222054651782,0,0.594999999999999,0.375
"numeric_high","null",1,26092100,360,10,2,"standardized_euclidean_onehot","selftune",0.21348610275671,0,0.594999999999999,0.138000000000002
"categorical_high","signal",1,26092100,360,2,5,"ab_gated","gaussian",0.904856510386762,0,18.181,0.113999999999997
"categorical_high","signal",1,26092100,360,2,5,"ab_gated","selftune",1,0,18.181,0.0889999999999986
"categorical_high","signal",1,26092100,360,2,5,"ab_no_interaction","gaussian",0.489885570925104,0,1.141,0.083000000000002
"categorical_high","signal",1,26092100,360,2,5,"ab_no_interaction","selftune",0.453112445232999,0,1.141,0.312000000000001
"categorical_high","signal",1,26092100,360,2,5,"gower","gaussian",0.174154918629834,0,0.0839999999999996,0.0809999999999995
"categorical_high","signal",1,26092100,360,2,5,"gower","selftune",-0.00918919819897511,0,0.0839999999999996,0.103999999999999
"categorical_high","signal",1,26092100,360,2,5,"modified_gower","gaussian",0.628660677736719,0,0.542999999999999,0.0949999999999989
"categorical_high","signal",1,26092100,360,2,5,"modified_gower","selftune",1,0,0.542999999999999,0.0949999999999989
"categorical_high","signal",1,26092100,360,2,5,"standardized_euclidean_onehot","gaussian",0.177575299682044,0,0.501000000000001,0.0760000000000005
"categorical_high","signal",1,26092100,360,2,5,"standardized_euclidean_onehot","selftune",-0.00964449364617032,0,0.501000000000001,0.472999999999999
"categorical_high","null",1,26092100,360,2,5,"ab_gated","gaussian",0.489885570925104,0,18.164,0.137
"categorical_high","null",1,26092100,360,2,5,"ab_gated","selftune",0.453112445232999,0,18.164,0.093
"categorical_high","null",1,26092100,360,2,5,"ab_no_interaction","gaussian",0.489885570925104,0,1.14,0.0839999999999996
