"scenario","prop_nn","affinity","method","mean_ARI","median_ARI","sd_ARI","successful_replicates","failed_replicates"
"marginal_signal_control",0.05,"selftune","Euclidean_onehot",0.924098471236351,1,0.194912389446708,8,0
"marginal_signal_control",0.1,"gaussian","AB_BW_R1_interaction",1,1,0,8,0
"marginal_signal_control",0.1,"gaussian","Gower",1,1,0,8,0
"marginal_signal_control",0.1,"gaussian","legacy_u_dep_interaction",1,1,0,8,0
"marginal_signal_control",0.1,"gaussian","submitted_normalized_diagnostic",1,1,0,8,0
"marginal_signal_control",0.1,"gaussian","Euclidean_onehot",0.995821566921232,1,0.0077369546597562,8,0
"marginal_signal_control",0.1,"gaussian","AB_BW_R1_no_interaction",0.98800000940899,1,0.0339410988843118,8,0
"marginal_signal_control",0.1,"gaussian","u_dep_bw_package",0.977811042051074,1,0.0427862904855819,8,0
"marginal_signal_control",0.1,"selftune","AB_BW_R1_interaction",1,1,0,8,0
"marginal_signal_control",0.1,"selftune","AB_BW_R1_no_interaction",1,1,0,8,0
"marginal_signal_control",0.1,"selftune","Gower",1,1,0,8,0
"marginal_signal_control",0.1,"selftune","legacy_u_dep_interaction",1,1,0,8,0
"marginal_signal_control",0.1,"selftune","submitted_normalized_diagnostic",1,1,0,8,0
"marginal_signal_control",0.1,"selftune","u_dep_bw_package",1,1,0,8,0
"marginal_signal_control",0.1,"selftune","Euclidean_onehot",0.924098471236351,1,0.194912389446708,8,0
"marginal_signal_control",0.2,"gaussian","AB_BW_R1_interaction",1,1,0,8,0
"marginal_signal_control",0.2,"gaussian","Gower",1,1,0,8,0
"marginal_signal_control",0.2,"gaussian","legacy_u_dep_interaction",1,1,0,8,0
"marginal_signal_control",0.2,"gaussian","submitted_normalized_diagnostic",1,1,0,8,0
"marginal_signal_control",0.2,"gaussian","Euclidean_onehot",0.995821566921232,1,0.0077369546597562,8,0
"marginal_signal_control",0.2,"gaussian","AB_BW_R1_no_interaction",0.98800000940899,1,0.0339410988843118,8,0
"marginal_signal_control",0.2,"gaussian","u_dep_bw_package",0.977811042051074,1,0.0427862904855819,8,0
"marginal_signal_control",0.2,"selftune","AB_BW_R1_interaction",1,1,0,8,0
"marginal_signal_control",0.2,"selftune","AB_BW_R1_no_interaction",1,1,0,8,0
"marginal_signal_control",0.2,"selftune","Gower",1,1,0,8,0
"marginal_signal_control",0.2,"selftune","legacy_u_dep_interaction",1,1,0,8,0
"marginal_signal_control",0.2,"selftune","submitted_normalized_diagnostic",1,1,0,8,0
"marginal_signal_control",0.2,"selftune","u_dep_bw_package",1,1,0,8,0
"marginal_signal_control",0.2,"selftune","Euclidean_onehot",0.924098471236351,1,0.194912389446708,8,0
"null_interaction",0.05,"gaussian","AB_BW_R1_interaction",0.658509429826907,0.655979569996137,0.0281318240278337,8,0
"null_interaction",0.05,"gaussian","AB_BW_R1_no_interaction",0.658509429826907,0.655979569996137,0.0281318240278337,8,0
"null_interaction",0.05,"gaussian","submitted_normalized_diagnostic",0.640663318147809,0.629101962117643,0.0363939571013791,8,0
"null_interaction",0.05,"gaussian","legacy_u_dep_interaction",0.505060550041398,0.503027846039688,0.0198872663639052,8,0
"null_interaction",0.05,"gaussian","Euclidean_onehot",0.0806682939724062,0.0572854942171341,0.0530114480013314,8,0
"null_interaction",0.05,"gaussian","Gower",0.0481653238635157,0.0420476780655946,0.0405176615086495,8,0
"null_interaction",0.05,"gaussian","u_dep_bw_package",NA,NA,NA,0,8
"null_interaction",0.05,"selftune","legacy_u_dep_interaction",0.86026261596789,0.839417845540638,0.106717642029428,8,0
"null_interaction",0.05,"selftune","AB_BW_R1_interaction",0.845490247699036,0.860771214456055,0.116340125913771,8,0
"null_interaction",0.05,"selftune","AB_BW_R1_no_interaction",0.845490247699036,0.860771214456055,0.116340125913771,8,0
"null_interaction",0.05,"selftune","submitted_normalized_diagnostic",0.60323703892797,0.594092218039848,0.0877995345777508,8,0
"null_interaction",0.05,"selftune","Euclidean_onehot",-0.00409450098902723,-0.00526943875648929,0.00189069621167522,8,0
"null_interaction",0.05,"selftune","Gower",-0.00485240071060511,-0.00499064254522769,0.00110201643499759,8,0
"null_interaction",0.05,"selftune","u_dep_bw_package",NA,NA,NA,0,8
"null_interaction",0.1,"gaussian","AB_BW_R1_interaction",0.658509429826907,0.655979569996137,0.0281318240278337,8,0
"null_interaction",0.1,"gaussian","AB_BW_R1_no_interaction",0.658509429826907,0.655979569996137,0.0281318240278337,8,0
"null_interaction",0.1,"gaussian","submitted_normalized_diagnostic",0.634006030105943,0.638101929461833,0.0375252889884469,8,0
"null_interaction",0.1,"gaussian","legacy_u_dep_interaction",0.505060550041398,0.503027846039688,0.0198872663639052,8,0
"null_interaction",0.1,"gaussian","Euclidean_onehot",0.0806682939724062,0.0572854942171341,0.0530114480013314,8,0
"null_interaction",0.1,"gaussian","Gower",0.0481653238635157,0.0420476780655946,0.0405176615086495,8,0
"null_interaction",0.1,"gaussian","u_dep_bw_package",NA,NA,NA,0,8
"null_interaction",0.1,"selftune","legacy_u_dep_interaction",0.868349200396388,0.870390252428154,0.111668565728861,8,0
"null_interaction",0.1,"selftune","AB_BW_R1_interaction",0.845490247699036,0.860771214456055,0.116340125913771,8,0
"null_interaction",0.1,"selftune","AB_BW_R1_no_interaction",0.845490247699036,0.860771214456055,0.116340125913771,8,0
"null_interaction",0.1,"selftune","submitted_normalized_diagnostic",0.583732943820817,0.585466810268987,0.0826395242919587,8,0
"null_interaction",0.1,"selftune","Euclidean_onehot",-0.00409450098902723,-0.00526943875648929,0.00189069621167522,8,0
"null_interaction",0.1,"selftune","Gower",-0.00485240071060511,-0.00499064254522769,0.00110201643499759,8,0
"null_interaction",0.1,"selftune","u_dep_bw_package",NA,NA,NA,0,8
"null_interaction",0.2,"gaussian","AB_BW_R1_interaction",0.658509429826907,0.655979569996137,0.0281318240278337,8,0
"null_interaction",0.2,"gaussian","AB_BW_R1_no_interaction",0.658509429826907,0.655979569996137,0.0281318240278337,8,0
"null_interaction",0.2,"gaussian","submitted_normalized_diagnostic",0.599570627793374,0.629100908508708,0.127659082711602,8,0
"null_interaction",0.2,"gaussian","legacy_u_dep_interaction",0.505060550041398,0.503027846039688,0.0198872663639052,8,0
"null_interaction",0.2,"gaussian","Euclidean_onehot",0.0806682939724062,0.0572854942171341,0.0530114480013314,8,0
"null_interaction",0.2,"gaussian","Gower",0.0481653238635157,0.0420476780655946,0.0405176615086495,8,0
"null_interaction",0.2,"gaussian","u_dep_bw_package",NA,NA,NA,0,8
"null_interaction",0.2,"selftune","legacy_u_dep_interaction",0.870318748453874,0.880880282179607,0.0991524805526637,8,0
"null_interaction",0.2,"selftune","AB_BW_R1_interaction",0.845490247699036,0.860771214456055,0.116340125913771,8,0
"null_interaction",0.2,"selftune","AB_BW_R1_no_interaction",0.845490247699036,0.860771214456055,0.116340125913771,8,0
"null_interaction",0.2,"selftune","submitted_normalized_diagnostic",0.712930684394716,0.692868257135708,0.113062859071368,8,0
"null_interaction",0.2,"selftune","Euclidean_onehot",-0.00409450098902723,-0.00526943875648929,0.00189069621167522,8,0
"null_interaction",0.2,"selftune","Gower",-0.00485240071060511,-0.00499064254522769,0.00110201643499759,8,0
"null_interaction",0.2,"selftune","u_dep_bw_package",NA,NA,NA,0,8
