"task_id","scenario","condition_id","replicate","data_seed","setting_id","n","k","prop_nn","rho","numeric_block_weight","method","method_label","affinity","ARI","objective","iterations","ifault","affinity_scale","affinity_neighbor_rank","distance_seconds","clustering_seconds","error","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_categorical_contamination","param_family","param_interaction_state","param_k","param_moon_noise_sd","param_n","param_n_per_moon","param_p_numeric","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical","param_q_categorical_noise","param_q_categorical_signal"
851,"pi_nn_sensitivity",1,1,26991901,1,36,6,0.02,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,3.23519518764118,3,0,1.12923046066932,7,1.591,0.011000000000001,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,2,36,6,0.05,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,5.6124587640641,2,0,2.46052994038547,NA,1.338,0.00500000000000078,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,2,36,6,0.05,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1.332623213191,2,0,1.39331321985307,7,1.338,0.0080000000000009,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,2,36,6,0.05,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",0.398190045248869,8.95937202056641,3,0,1.99342045615684,NA,1.338,0.004999999999999,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,2,36,6,0.05,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,3.23519518764118,3,0,1.12923046066932,7,1.338,0.004999999999999,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,3,36,6,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,5.59539413734001,2,0,2.46962269125213,NA,0.622,0.00399999999999956,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,3,36,6,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1.29667634468409,2,0,1.41414655318641,7,0.622,0.00399999999999956,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,3,36,6,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",0.398190045248869,8.95937202056641,3,0,1.99342045615684,NA,0.622,0.00600000000000023,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,3,36,6,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,3.23519518764118,3,0,1.12923046066932,7,0.622,0.00699999999999967,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,4,36,6,0.2,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,5.59610810159253,2,0,2.45175378949017,NA,0.931000000000001,0.00399999999999956,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,4,36,6,0.2,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1.32558539774635,2,0,1.40928529833804,7,0.931000000000001,0.00600000000000023,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,4,36,6,0.2,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",0.398190045248869,8.95937202056641,3,0,1.99342045615684,NA,0.931000000000001,0.00699999999999967,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,4,36,6,0.2,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,3.23519518764118,3,0,1.12923046066932,7,0.931000000000001,0.00699999999999967,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA
1151,"submitted_sim1_balanced",1,1,27291901,1,90,3,0.1,0.0666666666666667,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",0.793746783010882,8.54558958830303,2,0,21.3132794732901,NA,7.034,0.0400000000000009,NA,NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA
1151,"submitted_sim1_balanced",1,1,27291901,1,90,3,0.1,0.0666666666666667,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",0.967029789105371,4.51133971082498,2,0,12.5029622858513,7,7.034,0.00900000000000034,NA,NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA
1151,"submitted_sim1_balanced",1,1,27291901,1,90,3,0.1,0.0666666666666667,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",0.691838092829201,8.61325861300791,2,0,21.1905703450363,NA,7.034,0.004999999999999,NA,NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA
1151,"submitted_sim1_balanced",1,1,27291901,1,90,3,0.1,0.0666666666666667,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",0.967029789105371,4.40234185836457,2,0,12.5029622858513,7,7.034,0.00500000000000078,NA,NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA
1151,"submitted_sim1_balanced",1,1,27291901,1,90,3,0.1,0.0666666666666667,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","gaussian",1,3.27625756881259,2,0,19.4626088750596,NA,1.119,0.00399999999999956,NA,NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA
1151,"submitted_sim1_balanced",1,1,27291901,1,90,3,0.1,0.0666666666666667,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","selftune",1,2.29584711123251,2,0,6.16291859641303,7,1.119,0.00699999999999967,NA,NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA
1151,"submitted_sim1_balanced",1,1,27291901,1,90,3,0.1,0.0666666666666667,1,"Gower_SC","Gower dissimilarity (spectral clustering)","gaussian",0.967029789105371,3.97265454931124,3,0,0.305359077043271,NA,0.228,0.00400000000000134,NA,NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA
1151,"submitted_sim1_balanced",1,1,27291901,1,90,3,0.1,0.0666666666666667,1,"Gower_SC","Gower dissimilarity (spectral clustering)","selftune",1,0.0709954400756965,2,0,0.054750994572117,7,0.228,0.00999999999999979,NA,NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA
1151,"submitted_sim1_balanced",1,1,27291901,1,90,3,0.1,0.0666666666666667,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","gaussian",1,2.48138164150102,3,0,8.85973495877663,NA,0.274000000000001,0.00399999999999956,NA,NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA
1151,"submitted_sim1_balanced",1,1,27291901,1,90,3,0.1,0.0666666666666667,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","selftune",1,0.0511415106486484,2,0,2.07570959858611,7,0.274000000000001,0.00500000000000078,NA,NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA
1151,"submitted_sim1_balanced",1,1,27291901,1,90,3,0.1,0.0666666666666667,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","gaussian",0.751489203276247,2.17232255416557,2,0,0.290622096879035,NA,0.338999999999999,0.00399999999999956,NA,NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA
