"task_id","scenario","condition_id","replicate","data_seed","setting_id","n","k","prop_nn","rho","numeric_block_weight","method","method_label","affinity","ARI","objective","iterations","ifault","affinity_scale","affinity_neighbor_rank","distance_seconds","clustering_seconds","error","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_categorical_contamination","param_family","param_interaction_state","param_k","param_moon_noise_sd","param_n","param_n_per_moon","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical_noise","param_q_categorical_signal"
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",0.469406392694064,9.65102243764247,3,0,1.96689089301552,NA,2.37,0.00699999999999967,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",0.794495412844037,4.02373725969951,3,0,1.00996996643617,7,2.37,0.00400000000000134,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","gaussian",0.929032258064516,5.90391112134075,3,0,2.96466126585062,NA,1.448,0.00399999999999956,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","selftune",0.929032258064516,1.03610543469485,2,0,1.7964653678197,7,1.448,0.0109999999999992,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"Gower_SC","Gower dissimilarity (spectral clustering)","gaussian",0.58,10.5642332018405,2,0,0.560986263453131,NA,0.0489999999999995,0.00399999999999956,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"Gower_SC","Gower dissimilarity (spectral clustering)","selftune",0.58,9.4458352534018,3,0,0.332359183682974,7,0.0489999999999995,0.0129999999999999,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","gaussian",0.770909090909091,9.97540911096091,2,0,4.24785847448606,NA,0.147,0.00500000000000078,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","selftune",0.58,9.46047119043764,2,0,3.13154423440869,7,0.147,0.00799999999999912,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","gaussian",1,4.82697609337411,2,0,0.591941051657035,NA,0.118,0.00300000000000011,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
251,"nonlinear_interaction",1,1,26491901,1,36,6,0.1,0.5,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","selftune",1,1.32284935094791,2,0,0.395653248628476,7,0.118,0.004999999999999,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
