"configuration","interaction_state","replicate","data_seed","n","p_numeric","q_categorical","method","affinity","bandwidth_base_rule","bandwidth_multiplier","bandwidth_role","affinity_base_scale","affinity_scale","ARI","ifault","distance_seconds","clustering_seconds"
"numeric_medium","signal",1,26092100,360,6,2,"gower","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",0.404697030604073,0.809394061208147,0.426309098849535,0,0.213999999999999,0.134
"numeric_medium","signal",1,26092100,360,6,2,"modified_gower","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",0.59049456803571,1.18098913607142,0.489951794225752,0,2.351,0.134
"numeric_medium","signal",1,26092100,360,6,2,"standardized_euclidean_onehot","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",4.99749220538656,9.99498441077312,0.493071727933878,0,0.332000000000001,0.146000000000001
"numeric_high","signal",1,26092100,360,10,2,"ab_gated","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",9.02375969665064,4.51187984832532,0.903920849979541,0,28.209,0.161000000000001
"numeric_high","signal",1,26092100,360,10,2,"ab_no_interaction","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",5.14527375361594,2.57263687680797,0.556321174240815,0,3.913,1.029
"numeric_high","signal",1,26092100,360,10,2,"gower","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",0.367194710717298,0.183597355358649,0.696491957799651,0,0.292999999999999,0.252000000000002
"numeric_high","signal",1,26092100,360,10,2,"modified_gower","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",0.628994321642873,0.314497160821436,0.503935294380407,0,1.739,0.269000000000005
"numeric_high","signal",1,26092100,360,10,2,"standardized_euclidean_onehot","gaussian","median_positive_pairwise_dissimilarity",0.5,"sensitivity",5.52290879836931,2.76145439918466,0.867529452808416,0,2.11,0.0769999999999982
"numeric_high","signal",1,26092100,360,10,2,"ab_gated","gaussian","median_positive_pairwise_dissimilarity",1,"primary",9.02375969665064,9.02375969665064,0.815862708283804,0,28.209,0.211999999999996
"numeric_high","signal",1,26092100,360,10,2,"ab_no_interaction","gaussian","median_positive_pairwise_dissimilarity",1,"primary",5.14527375361594,5.14527375361594,0.689123954419064,0,3.913,0.109000000000002
"numeric_high","signal",1,26092100,360,10,2,"gower","gaussian","median_positive_pairwise_dissimilarity",1,"primary",0.367194710717298,0.367194710717298,0.521647533115417,0,0.292999999999999,0.127000000000002
"numeric_high","signal",1,26092100,360,10,2,"modified_gower","gaussian","median_positive_pairwise_dissimilarity",1,"primary",0.628994321642873,0.628994321642873,0.515090733883367,0,1.739,0.088000000000001
"numeric_high","signal",1,26092100,360,10,2,"standardized_euclidean_onehot","gaussian","median_positive_pairwise_dissimilarity",1,"primary",5.52290879836931,5.52290879836931,0.573957227395208,0,2.11,0.0749999999999957
"numeric_high","signal",1,26092100,360,10,2,"ab_gated","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",9.02375969665064,18.0475193933013,0.893528865993354,0,28.209,0.134
"numeric_high","signal",1,26092100,360,10,2,"ab_no_interaction","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",5.14527375361594,10.2905475072319,0.766060711656197,0,3.913,0.139000000000003
"numeric_high","signal",1,26092100,360,10,2,"gower","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",0.367194710717298,0.734389421434595,0.426851019166803,0,0.292999999999999,0.137999999999998
