"variable","detected","adjusted_p_value","statistic","task_key","experiment","condition","state","replicate"
"C3",FALSE,1,0.053907625626439,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C4",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C5",FALSE,0.8,0.143182854537164,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C6",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C7",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C8",FALSE,1,0.00058275058275048,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C9",FALSE,0.8,0.142968294106205,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C10",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C11",FALSE,1,0.0684142789405948,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C12",FALSE,0.99,0.0976790783102355,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C13",FALSE,1,0.0490622282946218,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C14",FALSE,0.99,0.097230255124992,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C15",FALSE,0.995,0.0828754578754578,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C16",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C17",FALSE,1,0.0234653257909072,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C18",FALSE,0.99,0.0932330827067669,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C19",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C20",FALSE,0.96,0.11304347826087,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C21",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C22",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C23",FALSE,0.99,0.0939849624060152,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C24",FALSE,1,0.0616096866096867,"Simulation_3__npg120_profile0-35__decoupled__rep004","Simulation_3","npg120_profile0.35","decoupled",4
"C1",FALSE,0.955,0.110579179573829,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C2",TRUE,0.01,0.306878306878307,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C3",TRUE,0.005,0.343559488692232,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C4",FALSE,1,0.0564160330423356,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C5",FALSE,0.03,0.263899816417519,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C6",TRUE,0.005,0.350265197878417,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C7",FALSE,0.635,0.154757755315441,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C8",FALSE,0.015,0.281040493429874,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C9",FALSE,0.015,0.280148423005566,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C10",FALSE,0.855,0.131194048669777,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C11",FALSE,0.245,0.20169539021998,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C12",TRUE,0.005,0.370870870870871,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C13",FALSE,0.865,0.130190796857464,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C14",FALSE,0.06,0.242921013412817,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C15",FALSE,0.13,0.218260869565218,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C16",FALSE,0.86,0.1306094484756,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C17",FALSE,0.28,0.196357723577236,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C18",TRUE,0.005,0.350580895008606,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C19",FALSE,0.54,0.166436896854242,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C20",FALSE,0.185,0.213114754098361,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C21",TRUE,0.01,0.30547480620155,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C22",FALSE,0.805,0.138191905182196,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C23",TRUE,0.01,0.285990338164251,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C24",FALSE,0.05,0.248035914702581,"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5
"C1",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C2",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C3",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C4",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C5",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C6",FALSE,0.975,0.0959752321981426,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C7",FALSE,1,0.00133084064767575,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C8",FALSE,1,0.0391304347826087,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C9",FALSE,1,0.0749072356215215,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C10",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C11",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C12",FALSE,1,0.0575757575757576,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C13",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C14",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C15",FALSE,1,0.0435391074482974,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C16",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C17",FALSE,1,0.0391428571428571,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C18",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C19",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C20",FALSE,1,0.038015828151498,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C21",FALSE,1,0.0507851321804811,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C22",FALSE,1,0,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C23",FALSE,0.9,0.123349436392915,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
"C24",FALSE,0.465,0.179573512906846,"Simulation_3__npg120_profile0-35__decoupled__rep005","Simulation_3","npg120_profile0.35","decoupled",5
