"task_key","experiment","condition","state","replicate","data_seed","method","method_label","bandwidth_multiplier","ARI","affinity_sigma","objective","iterations","ifault","distance_seconds","clustering_seconds","error"
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,26200500,"Euclidean_onehot_SC","Euclidean one-hot",1,0.6555278106402,4.14023170190965,77.8553190897174,3,0,0.206000000000003,0.0899999999999892,NA
"Simulation_1__reference__signal__rep005","Simulation_1","reference","signal",5,26200500,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.801421914369057,0.10613435912261,85.4266013091177,4,0,0.0409999999999968,0.0789999999999935,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Gated_active_average_SC","Gated active average",1,0.474988927757879,2.18026255671266,88.8498798159729,3,0,0.00400000000000489,0.0889999999999986,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Package_no_interaction_SC","Package no interaction",1,0.474988927757879,2.18026255671266,88.8498798159729,3,0,0.00799999999999557,0.0870000000000033,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Gower_SC","Gower",1,-0.00280243524593865,0.469748965474914,89.8475067341706,4,0,0.129999999999995,0.27600000000001,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Modified_Gower_SC","Modified Gower",1,0.519803868907569,0.609708958378031,79.5201948519204,2,0,0.754000000000005,0.103999999999999,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Euclidean_onehot_SC","Euclidean one-hot",1,-0.00280243524593865,4.07048427940551,87.758652429343,4,0,0.170999999999992,0.507000000000005,NA
"Simulation_1__reference__null__rep005","Simulation_1","reference","null",5,26200500,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.0783442308157888,0.0194145328780053,98.8288215099361,3,0,0.417000000000002,0.106999999999999,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Gated_active_average_SC","Gated active average",1,0.644562227317978,5.89452051832023,56.3872822584285,2,0,0.0130000000000052,0.198000000000008,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Package_no_interaction_SC","Package no interaction",1,0.266003352110107,4.96101147826534,53.7945030885864,2,0,0.00600000000000023,0.465000000000003,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Gower_SC","Gower",1,0.264285408882012,0.307674117460881,46.8460503195616,3,0,0.0990000000000038,0.200999999999993,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Modified_Gower_SC","Modified Gower",1,0.696647277419647,0.567640972761275,35.1888428512009,3,0,0.981999999999999,0.213999999999999,NA
"Simulation_2__n500__interaction__rep001","Simulation_2","n500","interaction",1,26300100,"Euclidean_onehot_SC","Euclidean one-hot",1,0.265558143133555,5.36529408263446,55.1299819865052,3,0,0.960999999999999,0.167999999999992,NA
